userName;rating;tanggal;ulasan;Keterangan
Firza Dellano;5;17/06/2024 17:29;Apa yang harus dinilai ? Semuanya dibuat dengan sempurna! Desain karakter, musik, grafik, cahaya, alur cerita, semuanya sempurna!!! Apa yang harus dinilai lagi!? Saya hanya berharap semoga developer dapat menyajikan yang lebih baik dari ini! Sejauh ini semua sempurna;Positif
bluetears;2;18/06/2024 04:56;Kenapa setiap cutscene pasti langsung lag / patah-patah / ngeframe. Padahal maen genshin aja lancar. Dan ini sudah pakai setingan rata kiri. Tolong di fix atau di beri kelancarannya. Karena menggangu pengalaman untuk mencerna storynya;Negatif
Abdul Kahfi Al Ghifary;5;18/06/2024 09:42;Seru parahh, alur cerita gamenya benar benar kompleks dan menarik, gameplay nya seru dan taktikal, sebelum ini padahal gak terlalu suka sama turn based, tapi setelah download game ini jadi ketagihan main, bansosnya ngalir deras terus, event nya lumayan banyak jadi gak bosen;Positif
Muhammad Fadilah;5;18/06/2024 10:37;Salam hoyoverse Bisakah anda menambahkan fitur penghapusan data yang tidak terpakai seperti genshin impact penyimpanan telepon genggam ku hampir penuh dikarenakan aku memainkan kedua permainan itu. Terima Kasih. Salam;Positif
anada bunga;4;18/06/2024 11:14;Sukak sih tapik kapan kapan adain multiplayer...,yaa belum tentu sih hsr bakal bener bener ada multiplayernyh😁, suda la kapan pun aku akan menunggu koq, hmm...bungsu emang masih baru barunya buat Adain begituan😥;Netral
Khoirul Muntaha;4;18/06/2024 12:56;Sudah cukup bagus.. Cuma buat Player baru cukup susah untuk kelarin story.. Untuk jaringan entah kenapa suka loading mulu saat ekplorasi kalau battle gk ada masalah.. Krn saya f2p... Jd main sntai aja gk muluk2 buat kelarin end gamenya hehe... Jd msih ok lah.. Selama spek perangkat mampu.. 🙏;Netral
Zaki Rizqi Fadhlurrahman;5;18/06/2024 13:43;Story yang penuh plot twist namun menarik, meski turn base namun cocok untuk saya yg ingin bermain game santai setelah bekerja seharian;Positif
Naura Azkia;5;18/06/2024 14:27;Gamenya bagus banget kok! Eventnya banyak,kualitasnya bagus,karakternya juga bagus bagus,pokoknya bagus semua! Terima kasih untuk yang bikin game ini! Sangat menyenangkan bisa memainkannya!;Positif
AGUSTINO;4;18/06/2024 22:29;Geme ini sudah bagus tetapi kekurangan saya sering kalah rate off di hard pity harusnya di geme ini tidak ada rate off agar lebih menyenangkan player semoga saya selalu beruntung bisa mendapatkan apa keinginan saya 😊🙏;Netral
yaqub sena;5;18/06/2024 22:50;Setelah update terdapat bug di quest main story, sebelum update tidak seperti ini tapi setelah update terdapat bug seperti black screen tiba-tiba tetapi cerita dalam quest terus berjalan karena suara terus berlanjut, kemudian karakter yg mau menghampiri triger event dalam quest seakan berlari di tempat tetapi cerita dalam quest terus berlanjut sama seperti diatas suara terus berjalan seiring dengan cerita dalam quest itu.;Positif
Toka Sakura;5;18/06/2024 22:51;"Terimakasih hoyovers telah membuat game yang sangat di sukai semua orang saya mewakili para Trailblazer mengucapkan terimakasih, karena telah menemani kita saat awal rilis hingga sekarang, hoyovers masih belum ada yang bisa menyaingi game Open Word, semoga semakin berkembang dan bisa menjadi game favorite semua orang. From ""Trailblazer TokaNii"" 😇";Positif
Fathir Raihan;5;18/06/2024 22:52;Ini salah satu game yang paling unik. Turn base dengan kekuatan elemen dan waekness break. Serta dengan karakter-karakter yang bagus dengan memiliki skill-skill berbeda-beda. Dan juga tidak perlu banyak menghabiskan waktu untuk bermain. Cocok sekali dimainkan bagu yang sibuk oleh pekerjaan jika ingin memainkan sebentar. Dan juga gameplaynya tidak jauh kalah dengan game hoyoverse lainnya.;Positif
Raihan Agustian;5;18/06/2024 22:55;Gila epic bnget anj ni game dari segi gameplay, story sama karakter nya keren bnget si, cuman side quest nya lebih puyeng dari story quest mana reward cmn 50 stellar, banyakin bansos woy;Positif
Agung Ari;5;18/06/2024 23:42;Gamenya bagus semua ok, tapi kurang event dan quest, saat trailblazer power habis itu gak bisa ngapa ngapain, itu aja sisanya di perbanyak event atau quest battlenya saja. Note: untuk buff konsumsinya tolong agar bisa ditumpuk seperti buff atak elemen dan crit bisa dipakai bersamaan karena sayang aja padahal banyak kombinasi karakter tapi buff dengan tipe yang sama hanya bisa digunakan 1 saja.;Positif
Wandy Yansen;5;19/06/2024 00:18;Game ny bagus dan menarik mulai dari segi story, karakter, gameplay, desain, yang paling utama sih karakter nya cakep cakep😀;Positif
Ikhsan Nur Taqwa;5;19/06/2024 02:04;walau dapet bailu di awal, dan menyelesaikan story hanya menggunakan Asta, Tingyun, MC Destruction, dan Bailu bisa tamat penacony yey. Sejauh ini game nya masih seru.;Positif
Novia Eliza;5;19/06/2024 02:39;baguusss bangett, pluss nya game ini tidak kikir, saat gacha juga nggak ada item yg mengecewakan mana cakep cakep lagi karakter nya,untuk jaringan nggak ada kendala sih sejauh ini, sangat ramah untuk hp mid-range, minusnya ya pling hp cepat panas but overall bagus sukaaa❤️🙈;Positif
Tri Anshari Muharrami;5;19/06/2024 02:51;Storyny seru banget konten end game juga seru buat dapatin stellar jade jg mudah jdi terkesan ramah f2p seperti aku huhu, sbnarnya baru kali ini coba turn base tpi ternyata cocok di aku pokoknya makasih game baik;Positif
Kanina;5;19/06/2024 03:02;gamenya bagus pol. dari segi cerita, reward, gameplay, karakter dll. recommended banget mana mainnya tuh lumayan santai gitu apalagi buat kalian yang kesehariannya lumayan sibuk. seru banget ini dimainin pas lagi luang.;Positif
Aziz Ramadhan;5;19/06/2024 04:13;Halo Hoyoverse selagi pembuat game Honkai: Star Rail, saya ingin mengajukan sebuah Fitur yang dimana bisa menghapus data story terdahulu seperti di game Genshin Impact, Saya sangat suka dengan game ini dan karena itulah saya mengajukan ini karena game ini sudah terlalu berat untuk di Handphone saya yang Storage nya 64GB;Netral
Muhammad Afif Arrafi;1;19/06/2024 05:04;diperbaiki lagi sistem update nya, sudah update 3gb, lalu update lagi 5gb aneh banget, mana pra unduh lebih besar daripada update sebenarnya, game aneh soal update patch;Negatif
Irmayanti;5;19/06/2024 05:24;Habis update, gabisa ngaplikasiin patch nya, keluar terus dari tadi, solusinya dong... masa iya harus download ulang sih:);Negatif
Kawaii Bismarck;4;19/06/2024 06:26;Sedikit keluhan tolong adakan sistem hapus data event yg sudah berlalu, jadi tidak membebankan game nya soalnya makin lama makin besar size game nya. sekian;Negatif
Azeriben23;1;19/06/2024 06:51;Di update kali ini mengapa di-updatenya kayak disuruh download ulang,gede bgt dalemannya 15 GB sementara di hp teman saya hanya 700mb Tolong diperbaiki terima kasih;Negatif
Jesslyn Nadia;1;19/06/2024 07:21;Setiap update data males, sudah bngt padahal udh kosong memori sampe berulang kali dicoba tetep gk bs males. Hrus nunggu lama bngt, udh makan 10gb kuota buat unduh berulang kali jg tetep gk bs.. Ilang sia sia kuota gw.!!;Negatif
Lucky Setiawan;3;19/06/2024 08:35;Game nya bagus bangett, makasi udh bikin game sebagus ini, tapi saran aja untuk gacha karakter mungkin bisa di permudah, soalnya susah banget aku dapetnya. Terimakasih :);Netral
Lanang Budip;4;19/06/2024 09:19;Game nya bagus ga ke gensin kikir tapi yg jadi masalahnya buat farming bahan ascend sama trace susah cuma dapet dikit terus tp g ky genshin buat gacha nya yg bisa milih karakter gratis setelah 300 spin kuranginlah ya jadi 200 mungkin kalo segitu dptnya lama mending yg gacha spesial itu aja saran gue yang lainnya bagus.;Netral
Faisal Huda;4;19/06/2024 10:35;sejujurnya keseluruhan game nya bagus, baik gameplay yg santai, karakter yg banyak, dan bansos yg berlimpah, animasi yang bagus,, tapi saya harap ada keterangan tambahan dari berbagai efek status yang bisa dilihat dari info karakter, lalu penyesuaian musuh agar farming (mengumpulkan bahan) bisa lebih mudah dan cepat 🙏;Positif
Nurul Fitriani;5;19/06/2024 11:33;sejak update 2.0 jadi sering banget force close :D sebel banget tiap lawan musuh, keluar sendiri. sebelumnya ga pernah kaya gini padahal, tolong segera diperbaiki;Positif
Dian Ayu Zein;5;19/06/2024 11:53;Seru banget, hp gw tecno spark 10, main genshin rata kiri burik banget, tapi main honkai sr masih aman banget. Battle juga seru, cerita menarik banget, dan dunia game yg luas. Gacha juga ga ampas, well done honkai SR;Positif
Afra Da lost kat;5;19/06/2024 12:32;Gameplay nya udah bagus banget Bener bener harus make strategi, seru sih Translate b indo nya juga ngelawak apalagi boothill 😭😭 (cuma menurut ku boothill nya jangan terlalu di buat begitu, kalo setiap ngomong kek gitu ya.. jadi biasa aja bahkan nyeselin);Positif
Chiimory_;3;19/06/2024 15:00;Hadeh padahal updatean kemaren optimalisasi sudah bagus game nya bisa dimainkan lancar 60 fps setelah updatean ini entah kenapa game jadi sangat frame drop dan fps jadi 23-30, why mihoyo ?;Negatif
Yazzu;4;19/06/2024 22:55;Fliss lah buat pre update nya tolong, tolong banget diperkecil. Gara gara pake fitur pre update, update saya jadi jauh beda dengan orang lain. Masa orang lain cuman download 3gb sedangkan saya harus 10gb gegara pake fitur pre update-nya jelas jauh beda dong dan saya gak terima kalo harus sampe begitu, orang lain sudah bisa menikmati saya masih download update terbaru. Flisss lah hoyo ini masalah update nya tolong ditangani.;Negatif
RRQ Pro;5;19/06/2024 23:33;Ada bug pas lagi berbicara lag parah dan satu lagi subtitle Indonesia gk ad itu bug parah sumpah update ini tapi yang lain ya udh baguss banget grafik juga udh baguss itu doang dibenerin ya hoyoverse yang baik dan satu lagi pas update jngn besar2 12gb y jngn minimal 4 gb lag update y;Netral
Faiz Altair;2;20/06/2024 00:41;Gamenya udah bagus tapi ada satu kendala ketika bermain yaitu bos aventurin terlalu sulit untuk dilawan terutama yang tahap 2,hal itu menyebabkan saya stuck dan tidak bisa progres gamenya, saya mohon untuk mempermudah pemain ketika bertarung dengan bos aventurin sehingga pemain dapat lebih mudah melakukan progres cerita. Saya pribadi lebih suka menikmati cerita dari misi trail blaze tapi sangat sulit untuk melanjutkan ceritanya karena tidak bisa mengalahkan bos aventurin.;Negatif
Bagus Wicaksono;1;20/06/2024 12:33;"lag di in game, dipaksa keluar. sudah melapor ke dev di ingame/lewat email justru tidak ada tanggapan, tidak bisa masuk juga setiap jam 7 malam hingga pukul 12 malam. pdhl sblm jam itu justru aman"" aja. tolong diperbaiki";Negatif
Ramdan Purnama (Purnama RMDN);5;20/06/2024 23:25;Overall bagus bgt , dari segi grafik & story bansos jg bagus hehe. Cuman mungkin fitur pra unduh nya yg ga bagus khususnya buat mobile 📲 terlebih lagi yg internal pas Pasan pra unduh nya Segede GABAN coy 🗿 mudah²an ke depan nya di UPDATE supaya pra unduh nya WAJAR;Positif
Daffa Kanigara;4;21/06/2024 15:36;Bener2 smooth animasinya, design karakternya perfect banget, buildnya kumplit, gachanya dan bansos gak pelit, dan storynya bener2 bagus banget. Tapi kekurangannya yaitu gak bisa mabar kayak genshin. Bisanya cuman berteman saja dan gak mabar, jadinya sayang sekali kurang seru😔😔😔 jadi untuk sementara aku kasih b4 dulu klo udh bisa mabar aku kasih b5 semangat HoYoVerse👍👍👍;Netral
Fairing Knight;3;21/06/2024 15:52;Tolong berikan solusi untuk gacha relicnya, karakter saya dari awal rilis sampai sekarang belum bisa optimal relic nya kalo main statnya okelah gk ada permasalahannya, cuman subsat nya pas di up gk nyambung, semisal build dps main statnya crit rate, nah substats nya yang kebanyakan di up bukan spd atau atk atau cr/cdm, tapi malah kenyang di up def/def% atau hp/hp%, tolong lah hoyoverse berikan solusi farm relic ini, kalo bisa relicnya gk perlu gacha dah;Negatif
rama Wanted;3;21/06/2024 21:55;saran saya eventnya jangan di buat lama2 seperti harus explore sana sini. Untuk yg gk ada banyak waktu jadi males ngelarin eventnya. Walau salah kita sendiri yg males. Tapi mohon bikin event yg langsung battle atau tekateki saja tanpa explore. Terimakasih.;Negatif
Risky Pratama Atmaja;3;22/06/2024 04:19;"Tolong atasi bug ""TOO MANY REQUEST""!! padahal cuma punya 2 akun loh masa kena limit gitu.. mohon di atasi segera pihak mihoyo yang tercinta🙏👍🏻";Negatif
ade julian syah;4;22/06/2024 05:14;Okehlah sekarang butuh relic perfect sesuai dengan set yg di butuhkan nguli terus jarang dapet yg bagus, dah dapet yg bagus saat di up malah ke stat yg jelek semua;Netral
F. Heldierona Phrasazn;2;22/06/2024 06:13;Alur gamenya udah bagus banget, visual dan voice actor yang menarik. Selama ini hampir gak ada keluhan soal bagaimana game-nya berjalan, terutama cutscene yang masih lumayan lancar meski kadang patah-patah. Kekurangan di game kali ini cuma satu, yaitu update terbaru selalu makan memori terlalu besar. Update data terbaru saat ini sampai 13gb, tolong diperkecil lagi atau hapus data yang sudah tidak terpakai.;Netral
Kaamila Putrie23;5;22/06/2024 11:47;Game nya bagus, terutama alur cerita mau itu alur cerita nya sang MC atau pun alur cerita dari karakternya sangat bagus 😊. Game nya juga suka baksos, game nya pake data, biar pun penyimpanan GB nya lumayan, tapi itu yang membuat game nya bagus 😊. Dan kendala yang saya alami itu terkadang suka keluar sendiri dari genus nya, dan suka ngebuk. Semoga gem nya bisa lebih baik lagi. Sekian terima kasih 😊.;Positif
Ahmad Alucard;4;22/06/2024 12:34;Game bagus,keren, soal grafik juga GG Tapi..bug benda ngilang dan kedip kedip nya ganggu banget. Tolong fix bug nya ya developer yang terhormat biar saya main nya lebih nyaman😁;Netral
Naomi MAsagala;1;22/06/2024 15:12;Bisa gak sih pas story penacony bagian akhir pas lawan musuh the pasti present and eternal show sama lawan bos sunday nya di pisah aja? Masa saya left saya kira dah tinggal lawan bos sunday nya malah ngulang lagi dri awal (gak semua orang punya damage bagus anjr);Negatif
Tiwi Sama;3;22/06/2024 16:03;Bagus si gamenya, cuma sayangnya setiap kali login kadang harus mengunduh sumber data dan itu ngabisin paketn lebih dari 10gb:(;Netral
Muhamad Prayoga Nasution;3;23/06/2024 00:38;Setelah update akun selalu ter logout, yang dimana saya didak dapat melakukan login dengan akun hoyoverse, ini menyebalkan karena akun saya selalu terkunci dalam beberapa waktu, tolong atasi masalah seperti ini;Negatif
Dio;4;23/06/2024 04:17;Bintang 4 Itu voice argenti yang en gada suara nya Tolong di perbaiki Mohon sangat mohon ya Saya ngerjain story quest nya jadi kurang nyaman karena voice argenti en nya gada Jadi kaya datar aja gitu Mohon ya segera di perbaiki sekian.;Negatif
Duta Efendi;2;23/06/2024 10:19;Aku tidak bercanda ketika mengatakan kalau gamenya begitu 'grindy'. Untuk relic, main stat gacha, sub-stat gacha, bahkan ketika dinaikkan pun gacha. Tidakkah itu berlebihan? Bagi player baru pun rasanya terlalu sulit untuk menyelesaikan konten seperti MoC atau PF, padahal dari itulah pendapatan Stellar Jade yang utama bukan? Alhasil sulit untuk mendapatkan karakter yang hendak di-pull. Padahal karakter itu cukup kuat untuk menambal kekurangan. Bam! Terjadilah pusaran yang sangat membelenggu.;Negatif
Kanaya Ariantari;3;23/06/2024 12:41;Game nya bagus cerita nya juga seru tapi tolong lah juvenile sting nya di nerf soalnya masak setiap 1 teman nya ilang dia tambah lagi itu susah banget jadi nya jadi ngerasa curang gitu terus juga tolong bos nya jangan lah habis dah selesain map javilo IV malahan map selanjutnya hampir semua boss pula dia punya tahap 2 habis darah habis jadi nya susah bahkan malahan si deer nya itu malahan selalu stuck di darah 37/36 pas di tahap 2 bisa dikasih sedikit nerf soalnya menyusahkan sekali;Netral
Vrixella Arthella;5;23/06/2024 12:44;Aku benar benar mencintai game ini karena bansos nya yang sangat banyak, hadiah dari event² nya jga bnyak bnget, terus klau nge-gacha Alhamdulillah nya ak sllu menang rate off meskipun hard pity wkwk tpi klau kalah pling dpet b5 limited dibawah 20 pity gtu. TPI PLS STOP KSIH AK B5 STANDAR YG SAMA MULU BERI AKU WELT PLSSSSS;Positif
Lexx Down;5;24/06/2024 03:47;Game grafik alur bagus dan bansos ya jga ramah,, Untuk kalian yg kesusahan update trus gagal Mulu,, itu penyimpanan ya udh ga kuat dah mending vensi jgan ngereting SE enak ya,, toh hp kalian yg kentang;Positif
prabu prabu;3;24/06/2024 04:41;Di mana turnbasenya ok pertama ini game turn base dan kenapa musuh bisa menyerang dua kali sedangkan kita harus menggunakan karakter seperti bronya dan tau gara gara itu aku gak bisa mendapatkan menyelesaikan event karena musuh dapet lebih banyak giliran dari pada kita di mana turnbasenya di tambah memakan penyimpanan yang bener bener besar hp saya sudah mau habis penyimpanannya dah lah nak mau monopoli aja turnbasenya lebih adil;Negatif
Turah Jio;3;24/06/2024 09:01;Mohon maaf terganggu untuk Honkai Star Rail saat saya bermain Honkai Star Rail Saat Download okayy tapi masuk ya gk bisa download lagi pas tutorial udh lesai kan udh download di loby tapi kok harus download lagi mohon diperbaiki 🙏;Negatif
Cahya Pradipta;2;24/06/2024 09:23;Padahal gamenya bagus banget, hampir perfect buat orang sibuk, tapi kenapa semakin kesini semakin jadi meta oriented, perilisan karakter b5 terlalu cepat dan banyak (2 b5 per patch) sehingga kadang mengejar karakter lama kesulitan karena sering kali karakter itu rerun bersama dengan karakter baru yang meta. Aku rindu HSR yang dulu pada saat MOC masih lantai 10, saat Jing Liu rilis yang meta bukan hanya Jing Liu tapi Serval (B4) juga meta, begitupun Dan heng IL rilis, Qingque(B4) juga ikutan meta;Negatif
Dewa Adi;3;24/06/2024 10:32;Saya sangat suka game ini, tapi kenapa sangat sulit untuk mendapatkan relic yang dibutuhkan untuk character, saya menggunakan hampir semua sumber daya yang ada tapi tidak mendapatkan satupun relic yang bagus 😞😞😞;Netral
Richard Langsa;4;24/06/2024 12:43;Tolong banget, kenapa kalau cutscene selalu patah patah sedangkan kalau bertarung aman aman aja , tolong banget di perbaiki soalnya saya itu suka nonton cutscene 🙏🏼;Netral
Alvarel Genshin;5;24/06/2024 19:26;Terimakasih HSR, saya seminggu pertama main ketika awal rilis meninggalkan game ini, setahun kemudian kembali karena marketing mereka dari berbagai platform dan saya mainkan benar - benar luar biasa!, ternyata oh ternyata story game dan vibes yang mereka bawakan luar biasa, apalagi ketika boss fighting diberikan soundtrack yang luar biasa membuat vibes permainan nya semakin asik, jujur pertama kali ini saya bermain game yang membawakan vibes nya bener2 asik cuma di honkai star rail, thanks 😆;Positif
Shiraori Ne;3;24/06/2024 23:00;Terjadi error' terus di saat mau login dan prosesnya lama;Negatif
Dino Tanu wijaya;2;25/06/2024 06:25;Kepada developer yang terhomat tolong tanggapi komentar ini tolong segera di perbaiki servernya karena saya mau login gak masuk too many request terus jadi saya kasih bintang 2 dulu yah kalo udah di perbaiki ntar saya kasih bintang 5;Negatif
Muhammad Imam Muslim;2;25/06/2024 06:56;Saya hapus karena game terlalu berat padahal game ini sangat bagus sekali sayang tidak bisa improvement dalam segi penyimpanan apalagi gameplay-nya cuma turn base;Negatif
Muh. Al Khalifah Ramadhan;1;26/06/2024 03:41;Awalnya seneng Ama gamenya, tapi pas baru keluar dan masuk lagi harus periksa data lagi udah cape cape nuggu lama eh harus nunggu lagi game macam apa ini🙄🙄🙄;Negatif
Nur Madinah;1;26/06/2024 06:13;Gw udah capek2 ngerjain questnya, udah capek2 build karakter dan dengan mudahnya lu bikin gw kembali di awal lagi mainnya, yang bener aja? Mentang-mentang gw pensi mainnya lalu balik lagi. Gimana sih hoyovers? Udahlah males gw mainin game ini , capek2 gw rawat akun gw malah dihilangin segitu mudahnya. Sumpah anj malas bangat gw;Negatif
Putra As;1;26/06/2024 10:32;Setelah saya berhenti bermain untuk beberapa bulan. saat kembali bermain, akun saya tereset? Why?? Memang sih gw cuman main diawal² doang tpi kn tetep aja...masa ngulang lagi dri awal, terus hasil gacha saia gimana? Kafka gw ilang😭;Negatif
Ramadhani Asis;1;27/06/2024 01:44;kenapa bos di aventurin itu sangat susah, jangan bikin bos di luar kemampuan, saya ini bukan player yg top up saya pemain gratisan jdi saya memakai char yg dari f2p sj, bos kok di kasi sangat susah udah saya build semua karakter ku sampe ikut saran sepuh tetap tidak Bisa kalahin, saya berharap bos aventurin itu di mudahkan lagi;Negatif
Aurel Wibuu;5;27/06/2024 10:14;Jujur sih dari alur cerita atau desain karakter bagus-bagus semua, banyak bansos, karakterny juga ganteng-ganteng. Tapi yng aneh itu kalo login pake wifi gabisa, sedangkan pake data bisa.;Positif
Aditya Dika;3;27/06/2024 11:07;Overall bagus, world, story semuanya tidak ada masalah. Tapi tolong jaga keseimbangan antar karakter dong, power creep di game ini sangat parah. Karakter yang bagus di early patch jadi tidak berguna di patch terbaru dan event Simulated Universe Gold and Gear terlalu rumit dan panjang untuk hadiah yang menurut saya tidak sebegitu banyak. Ini game bagus sangat recommend, tapi tolong lah Mihoyo, power creep and keseimbangan gameplay/event tolong di perhatikan.;Netral
Kenzi Rifki Syafaras;3;27/06/2024 14:00;Saya tidak tahu tapi saya lihat di google tentang informasi size honkai Star rail tertulis bahwa untuk android itu butuh 5-7 GB dan yang PC butuh 20 GB tetapi saat saya memainkan game ini saya disuruh untuk mendownload data data lainnya sebesar 18 GB 🙏;Negatif
Kadek Difa;3;28/06/2024 00:43;Saya ingin memberitahu suatu masalah di story penaconi saat saya menjalankan story aventurin dia saat berevolusi pertahanan nya sangat kuat hingga karakter saya kualahan demage pun sangat sakit tolong nerf bos aventurin di story penakoni padahal karakter firefly saya sudah level 80 tapi demage nya tidak masuk yang masuk pun hanya bereak effect tolong bos nya di nerf agar yang menjalankan story mudah menyelesaikannya;Negatif
Albedo;2;28/06/2024 02:21;"Sedari Awal Saya Main Sampai Equilibium 30 Saya Tidak Pernah Mendapatkan Karakter Bintang 5,Itu Menyusahkan Sekali Saat Mengambil Quest Fight Atau Raid Boss,Saya Hanya Menggunakan Danheng Gara"" Itu,Sudah Mencapai Pity 200 Lebih Dan Saya Tidak Mendapat Karakter Bintang 5 Sekalipun,Tolong Hoyoverse Berikan Saya Kesempatan Untuk Mendapatkan Karakter Bintang 5 FireFly Atau Semacamnya 🙏🏻";Negatif
Adi Kurniawan;3;28/06/2024 02:44;hemm kok tiba tiba ga bisa masuk loading di awal scren pdhl ga di apa apain apknya, filenya, masa ia harus download ulang datanya mana gada solusi pula pas di cari haaaaahh. mana lama download datanya. solusinyalah;Negatif
Rio Andreyanto;2;28/06/2024 03:17;Maaf min ini game nya nge bug saya mau login udah sekitaran 30 menot ga masuk ke layar buat login cuman muncul gambar login screen saya coba un instal download lg ko masih gitiu ya?;Negatif
Yasmin Putri;5;28/06/2024 06:43;"Aku lebih suka ini daripada gensi impact soalnya loadingnya ga terlalu lama kalo gensi impact lamaa pol, ga terlalu ngeleg and bug aman maap nya bagus"" and karakter nya bagus dan skill nya juga";Positif
-Alraxn -;3;28/06/2024 07:00;Overall bagus sih ini gamenya cuman pas bagian unduh data, beuhhh lama bet padahal internet lancar gak ada masalah. dari yang tadinya udah exicited banget main game ini malah harus nunggu unduh data yang ngebikin jadi gak exicited lagi :(;Netral
Akhmad Yusuf;5;28/06/2024 11:50;gameee turn base paling menarik yang gw mainin, setiap content tuh beda banget mekaniknya gak sembarang asal build Chara bagus bisa win, buff yang dikasih unik2 semua, the best lah hsr;Positif
Fiki Ramadhan;3;28/06/2024 12:25;Gamenya makin update patch semakin berat,bahkan hp ram 6 aja udah overheat hp,kalau bisa hoyoverse tolong di ringankan lagi dari segi grafik,data dan lainnya.terimakasih;Negatif
Nadhiifah Kaumi;4;29/06/2024 09:37;ini game tuh bagus banget aslii, ga ngebosenin, chat nya cakep cakep, wareg bansos, ga kikir, dan santai. Gua suka banget mainin ni game dan emg seseru itu. Tapi....yang jadi masalah nya PRA UNDUH DATA nya....gedee bangett, tolong file yg lalu bisa dihapus biar g makan banyak size, hp gua sekarat soalnya;Netral
Siti Aisyah;5;29/06/2024 14:27;Awalnya mungkin membosankan, tapi percayalah itu masih pembukaan (ngebelajarin cara bermain kau), setelah selesai dari tahap itu, dan bagi HPnya ga kentang, dijamin bakal seru! , kembali lagi tergantung tipe orangnya suka jenis game yang kaya apa.;Positif
гค๔เtꌦค Harithz. M;5;30/06/2024 02:37;Love This game! Dari Graphics nya bagus, Karakternya juga bagus, Event nya juga seru banget Jujur dari awal Cerita Udah tertarik banget buat main game ini Pokoknya bagus deh👌;Positif
Naura Larasati;4;30/06/2024 06:48;Gamenya udah bagus, tinggal size updatenya yang menurut aku itu terlalu besar untuk hp yang size memorinya sedikit;Netral
Sugeng Pramono;5;30/06/2024 07:47;Bagi lu semua yang ngeluh sama updatean yang terlalu besar, lu mau main yang berstory ya elu harus rela buat keluarin banyak memory lah boss..... Hsr udah kasih banyak bansos, udah kasih story yang seru banget, lu malah ngeluh updateanya yang besar.;Positif
Alleta harifa zani;1;30/06/2024 13:53;Perbaiki kondisi jaringan. Masa setiap login selalu login ulang? Padahal wifi lancar buka aplikasi lain terlebih lagi update-nya jangan terlalu gede dong, gila setiap update 10 gb bisa rusak ni hp;Negatif
Qing'Yuu;1;30/06/2024 21:11;Ente lah. cape liat nya, ga tau akun nya emng busuk? Bikin akun baru pun sama bae padahal buat nyari happy dari akun lama. buat reward emang banyak tapi sistem pity nya kikir sering kena rate off di hard pity dah lahh cape ngejelasin nya jga gabakalan di tanggepin. Thanks sudah menemani waktu luang nya ....;Negatif
just be happy and always be happy;5;01/07/2024 16:59;LOVE BANGETTT chara nya keren, awalnya kirain bakal bosen karena ini game turn based, tapi ternyata overall gamenya seru!! Fandomnya juga lawak, walau agak ngeselin.;Positif
Dzaki aditya;5;02/07/2024 13:09;Game yang sangat bagus recommended sekali buat yg suka game RPG dan dari grafiknya sudah bagus di tambah sound dari map nya juga epic banget dengernya apalagi di map penacony di dream's edge sama golden hour;Positif
Muhammad Alfarizi (Faiz);5;02/07/2024 18:05;"bener"" gak nyangka dari awal pernah bebrburuk sangka kalo gameplaymya bakal ngebosenin karena fightnya cuman begitu, ternyata pas udah ngemainin gamenya jadi ketagihan side questnya banyak dan ga ngebosenin banyak pilihan bubble teks yang bisa di pilih buat interaksi ke char lain / npc banyak karakter playable juga dan ga pelit material buat upgrade dan arc penacony the best bgt hmpir stiap jalan nangis di penacony karena terharu ada game seindah ini.. dari story game sampe ke perasaan playernya";Positif
Satyaxx;5;03/07/2024 07:14;game nya bagus animasi battle nya dan visual efek nya bagus cuman agak berat di hp ku hahaha, mau buatan hoyoverse yah mau gimana lagi;Positif
Vaneza Tsaniyya;2;03/07/2024 08:02;Setelah Update DU, bug nya jadi tambah ngeselin, salah satu nya pas selesai ngelawan Bos Sam efek api-api nya masih ada padahal udah gak main DU lagi, belum lagi tiba-tiba Force Close.;Negatif
greyseral;5;03/07/2024 15:22;Tipe game turn base, jalan cerita menarik seperti game rpg pada umum nya, grafik juga bagus, baru main di awal merasa terkesan, semoga kedepan nya tidak membosankan Saat ini Story : 8 Music : 9 Graphic : 10;Positif
mitha;5;04/07/2024 06:26;bagus + keren! (wlpun trun base gamenya ngasih kesan yang berbeda dan menjadi menarik!), dari segi grafik, story, dan desain karakternya juga bagus² semua (apalagi bagian ngasih hadiah hehe), tetapi kadang di bagian alur cerita terjadi lag/bug dan menjadi kurang puas, ya.. walaupun terjadi beberapa kendala, game ini overall udah oke!;Netral
Iqbal Syawaludin;5;04/07/2024 08:12;Untuk keseluruhan sih bagus, tinggal di perbaiki bagian koneksi internet nya aja soalnya pengalaman saya bermain game ini sering DC. Ya itu aja sih terus dikembangkan lagi;Positif
Muhamad Rezky;5;04/07/2024 10:56;Overall game nya bagus.dari story, gacha. Cuma terkadang ga bisa login ada tulisan (to many request). Kemarin udah lancar seharian bisa login.malah nambah parah udah 2 hari ga bisa login. Sayang daily login nya;Netral
